max,min,avg,median
-1.011497851121023,-2.5936906727788216,-1.6424745180388585,-1.6584664823554023
-0.5847289128044516,-2.5146238259240627,-1.5708080642972815,-1.5669209546369858
-0.6243462595768499,-2.7015450321485965,-1.648461889698792,-1.7565014373669907
-0.8598978654961248,-2.5023550133277634,-1.6553395570490568,-1.6973036361099565
-0.4659560692237704,-2.676208279201041,-1.7109473609001336,-1.7187452606531255
-0.8788399299599745,-2.7518585126931994,-1.8536502751596635,-1.9111727881614577
-0.8140429376082755,-2.566341021575034,-1.7422718940436508,-1.7134616269104332
NaN,NaN,NaN,NaN
-0.5076735655106799,-2.556588090446599,-1.6267828982312051,-1.6937094842808975
-0.3506887526703844,-2.6718402839469237,-1.5614803321517645,-1.6615899472372906
-0.26401311989744697,-2.4060888563106273,-1.495013831975645,-1.599877004714674
-0.3255696064045663,-2.522534554829637,-1.5096682239032473,-1.4283772796378127
-0.5842084567675958,-2.61321362590851,-1.5514708056969055,-1.5471164571181921
-0.15181906348682145,-2.7262691255841727,-1.4706546915098007,-1.4394114504873183
-0.14050976045766733,-2.5707914639261342,-1.7155704749396652,-1.7907824682200277
-0.24948733038604196,-2.4578183088076004,-1.709139594204681,-1.6787354096110432
-0.5458156640535045,-2.545114353290046,-1.6435899694931284,-1.6373145262492288
-0.0,-2.6011814489974556,-1.565000781097649,-1.6725701745406272
-0.18519771822538836,-2.6444091044552582,-1.7634550489860132,-1.8338098992199485
-0.10681907422434739,-2.6196758997848777,-1.5460835494528267,-1.514807327298252
-0.1781692211746288,-2.6237354134869286,-1.6540576367362356,-1.7141500318349814
-0.18776977359847685,-2.725694741946526,-1.6083917681065605,-1.6145347803285848
-0.36867475242941716,-2.5134830278948415,-1.5399396977359205,-1.6586357748296678
-0.4203222366783488,-2.5888612615628963,-1.5839583628109224,-1.5993393688446544
-0.6476158648774634,-2.508247605137837,-1.5823767814446412,-1.630048689053101
-0.45629512047074905,-2.480567896457602,-1.3574768701640811,-1.2777606608879382
-0.04109532582269504,-2.4809336007171088,-1.3405242903786196,-1.4039826062878644
-0.0,-2.6850845641747454,-1.3124810205647255,-1.315810319479303
-0.464979081189066,-2.363373560482011,-1.4770571088842177,-1.4836137186400777
-0.13373506304344604,-2.5640255264001763,-1.3718910151064234,-1.3731401438756388
-0.2548219058214757,-2.716506034815924,-1.3690309783047752,-1.1887605185792127
-0.36052030397649815,-2.736469745211685,-1.5055098502606592,-1.5149527484003857
-0.034151480995616414,-2.6093466502727134,-1.491541910832454,-1.5394099380336426
-0.8331985211670361,-2.4126326358620744,-1.5768471492019926,-1.6862439373036648
-0.8963735875562173,-2.698713041921165,-1.5692379703198915,-1.523677952887517
-0.6636153185924006,-2.2583596811345026,-1.4392142099731764,-1.4456561605857563
-0.7136721844249898,-2.5473244097175987,-1.4723052371801633,-1.4357005572845774
